Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	File Size	SHA256
NPNA00001	US	Loot The Land	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00001_00_1542A0E1/1.02/NPNA00001_00.pkg	MISSING	UM0021-NPNA00001_00-0000000000000000		80616688	97714b2de4cc4d03fe111c666442cb30135f3e3c1bb5001be00582c51c86a7be
NPNA00101	US	NPS TEST A	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00101_00_975A33C3/1.00/NPNA00101_00.pkg	MISSING	UM0100-NPNA00101_00-0000000000000000		9016256	0692678388d2782d17b74e02dc41386d3e0d11bb087ddb17229adafa3585d9d7
NPNA00102	US	NPS TEST A-CA	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00102_00_2E34E7E6/1.00/NPNA00102_00.pkg	MISSING	UM0101-NPNA00102_00-0000000000000000		11085152	1a83efde9d0b5631f5275126dcda4564aa8215ab50fca7b3474d11d6e25b33fb
NPNA00103	US	iFishing	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00103_00_026C6E23/1.02/NPNA00103_00.pkg	MISSING	UM0105-NPNA00103_00-0000000000000000		34941488	76c8b480cbc13443efc3e12395630e631ab8801e1be4b7a04e34d1c11e54ba0e
NPNA00104	US	Blue Skies	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00104_00_0BA04C33/1.02/NPNA00104_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGCq6xfgB7TV0MAE5H4DNDCY4mNLt7+AgW9E3OHXL/OnnnrxVSNo7/nVT3vW1i06G/1u6mp55Xs7n6hU/fIRffjW80yIj9GfwtpmNfUvudq6Z/1C7tsv00hdqdabOJEtIMIkva2P/9/BSXytUf/vW2ocWBP44qLO6c4q7eBTS/jMLKa+LV7cl59T+ljeQZm1wOBg/f6itUUmVk+sv5bqL/kkM8Go/fC29DdfnpvlbHsWlnvbZ7dB9QGPhBwTfnMZ/yqh7gvnLpXef/jghVnm0cLqD/V2xYpm9h1rViapx9kunCru/VXt+/miYBXhKUJKnD8fn5Tf9W9O88yrNrWMSsv/Ho6VeTvDctcz/Ytvj//y3PmJfamZOQvDqtUpHNtmJV5df1cl6oTYuSM9W9UaX89na5fIiVvLtb9s+/Rjj2bsf+3tNevsrEOBLod0Fj5SqTvUc3f71z/yc4pds7lV/n6OlNPIM/556LFq/xVZ0QlTKqyPTN4ut5bpyKKz+nOqb8b1PSjV2SvbEmGnyfPFT3Ol7tyJPEr/ZX52n3XN4XQ0SjYz29LSNFOwkv/poaXPayqvrjs2+1FFz45zdoE795yf3fJse12A/4ZtRX28O7ecXPnh+jRRnwmVO3q5xbSevHFiMnO9+TuFL2ClaWh3YHJschpbK4/vlvDTcw7c3BHw7FNAYsSBI+WXYkUyGKqOak48dtx72r3OF+cSZ0xf1/Pu3oOs/5O/R3V7Xzjg0LKNYYQDAPSmETMA	UM0105-NPNA00104_00-0000000000000000	2018-11-05 20:00:14	40987088	9e2245fb803617302c650a218b49c5e8bb5917082daac382c10559b7cb40ef36
NPNA00105	US	Dungeon Bandit	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00105_00_5283B585/1.01/NPNA00105_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGCq6xfgB7QVyAK53wANDKb4ELnsN6t296/lreu43+g7H1D5rfS6afaUa8lsOu6la3a8Un6q7x3xx72HT9Ov8E+7pdesS6szNb7Jqv5/t6HvukHXzHCL5zO6Ly/hK1yba16f8MXgY/18SZs9E789YBdJ/1B28trns8yr3nvszFKv3N7OwDdv7u8rC6IFbx6L4zktd+n7r9ePTd9tvbOD+bOWsv2Kq29nl/85ud3hxMw73pya70/nX51t6z+vRmr6tN8hx5gD3K1Ztb5y/vk2q3XB96NO+Q52dlWLdPt0biwQ4ZLdcNT7aHPdyTVCgnueX2N2b5zupVggMm+Jvp+51PwCmfkP/8d1bfle4rUvyS3oUcfMjMXT3gf8uHM/V+Je5dONB09NUOL54mh0gSucd9Zmt4eVf693K7RobOANTK0ycp2YUr3eac2xA7cFl7zMKRG44JmTPzW91+LlyW0dCb0fX1rsNHaOrj3WMlvn1HrhS84zq76t3lAsO3ehxaa+3Q/lWDQZas/dMHZr06l7lioT3xtWlvLu6vcF2SdXvph9jiXX02cH77p1k36tkWSO+R4z3WRiVOiPBP6G/xvEtaf/t/zeJdrpHGfYmhH0yVU+3al61sKbc292Vbf2Ft+88f6Y1qr5BiumXmFvWTf/n4LehOwLl4SOvF/yfN4Ni8M8Ozc+fnLw6IQp/9jmhyzez/hxj8G9iQd2bb+fmxCjWevFt2vt3YBW32yPjmDpq3fvMYxwAABO6xZm	UM0105-NPNA00105_00-0000000000000000	2018-11-05 20:16:06	38697072	332c6c2d188627f7e3cc7d9a5ec3a5824e5dd5942caf2efdf2ef545841b81f59
NPNA00106	US	Quiet, Please!	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00106_00_5918508C/2.00/NPNA00106_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGqg6xfgB7TV0MAM5H4DNDCY4kPMjZ9rlkjH6f9iFsacJQsOGDPHXtljHzTp0GTtNb/m6r3xXjdPf+nGROnAKQrFR71sp3u3xWlqnHE2epT/7WixV0Vb/ekjT9bW3CuYL+N4UVj5qoH5MzlJnvu3/Suq1y79zOR/Z8XKr79v3Nr3w3Z603Zx2wuzvJrX1k7tvMsboP/Q6HNr1RulM9L7LqZy7Pibk6jI3962yE3tqrvhlo/nKzhOb3HfNGWv/dnuB6LMtScPWJywOW31ptBwtn/jmlbmLWZCHLbRnwU946d3/Jhp+cC9O01d9Q+/0Texu62iodLNYadq3dK8bExOMBcyrlTe/8BhT61/h+Vc6fV9Eq/WFAnf/fmb867+uscN5yaWKdX1NPBcuqD+cm/z7S+5zZsOOremS9SaZry4Y1gi957H6aRx05LkV286/x7c9vhY0bsQB+uf+zyYFnx6vd/wDIv5qu6VnLlq3G73+gvtuRQ/JTyVdrwbdV6vScrgmIBxRHft9stu6h48lu/zb+3YujDh2s3CW9vb7nU1B2wKqXOSme+lUFLeyNXnuGv+0iU6sp63PVS6D025c42bqUrjXsOZX7uPnfkplXxkutzFyTOfCcgHqAcfED70mW3l5n0fVh6NbZT2WjnP9/29M1m/ncT893PvS9XzfrZ/4ZXOoqkx2f2+DOaKj5IXZitfifpvlrVFvfii7Y9Xr+0uBXYdkDjvXiXhNcHr1QvlpQwjHAAA26UI8gAA	UM0150-NPNA00106_00-0000000000000000	2017-10-22 13:36:13	9656992	8c6247b7446280464da35ac5d718c3a472884aa476fd47d1ede7de2744b138bd
NPNA00107	US	Pocket Farm	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00107_00_30A052A0/1.01/NPNA00107_00.pkg	MISSING	UM0105-NPNA00107_00-0000000000000000		23042832	c5e3168f4dcad6e1f5493857bd00b936806f7e5e256c62e230222e11b4c0b1d7
NPNA00108	US	Visualize	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00108_00_878235DD/1.00/NPNA00108_00.pkg	MISSING	UM0183-NPNA00108_00-0000000000000000		10234672	d64e1101273ff5da31a1cf007439bbbcf66a61bf72e436e3d7bbc985bbc85095
NPNA00109	US	Luminis	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00109_00_85826CA6/1.00/NPNA00109_00.pkg	MISSING	UM0183-NPNA00109_00-0000000000000000		3965248	8c52c9a26c52c2b1f8e82d4cacf8c2687480b9e89140cce6fcb5c39090bc646d
