Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
UCUS98744	US	LittleBigPlanet (Content Update v.2.05)	http://zeus.dl.playstation.net/cdn/UP9000/UCUS98744_00/g7DaaHVpsHMYPNSiF1TlV4WnKDGBjhGQ91vQvU7RJpP5tsTSxGs2cjhNciqno8HcqJIgDJGgl7gorOWtWsxkcQRDU3svKcWjd3R15.pkg	UP9000-UCUS98744_00-LBPPDLCSONYPA002	2017-10-30 15:53:52			38071040	592ee1d9ec4f241f8c46572c239c2b6312968905dab8355164196ac7110fa043
NPUG80251	US	Pinball Heroes (Shell)	http://b0.ww.np.dl.playstation.net/tppkg/np/NPUG80251/NPUG80251_T0/eb8773f3d2acebb3/UP9000-NPUG80251_00-PINBALLPATCH0000-A0300-V0100-PE.pkg	UP9000-NPUG80251_00-PINBALLPATCH0000		NOT REQUIRED		2573120	c62b6c130726dfc0b60ace8713fd77b1fa6b6b19f9504d07c30345f495cc8c66
NPUG80318	US	LocoRoco Midnight Carnival (Game)	http://b0.ww.np.dl.playstation.net/tppkg/np/NPUG80318/NPUG80318_T0/6252b6aced423ad2/UP9000-NPUG80318_00-LOCOROCOMCPTCH01-A0200-V0101-PE.pkg	UP9000-NPUG80318_00-LOCOROCOMCPTCH01		NOT REQUIRED		5126624	ef8e3d0e7853b3646c77fcb7a2eb62b474a8a1def66e99d9bd920d15e9b7da71
NPUH10128	US	Elminage Original	http://b0.ww.np.dl.playstation.net/tppkg/np/NPUH10128/NPUH10128_T1/ddbee677b5b41d8a/UP2035-NPUH10128_00-0000111122223341-A0101-V0101-PE.pkg	UP2035-NPUH10128_00-0000111122223341		NOT REQUIRED		188332880	444813ee836e345a8d62437aaf403d4741d46cd237dbf81ef22ed2dbb2eb33a1
UCUS98716	US	SOCOM: U.S. Navy SEALs Fireteam Bravo 3	http://b0.ww.np.dl.playstation.net/tppkg/np/UCUS98716/UCUS98716_T13/06c8db662716e628/UP9000-UCUS98716_00-FIRETEAMBRAVO312-A0110-V0100-PE.pkg	UP9000-UCUS98716_00-FIRETEAMBRAVO312		NOT REQUIRED		6851312	af40317e022bd19ea4cdeac7136bdf8cbfdc7d304f74cb652b2c63630fe591cc
ULUS10538	US	DJMax Portable 3	http://b0.ww.np.dl.playstation.net/tppkg/np/ULUS10538/ULUS10538_T0/ab60e8673b3f6c61/UP2011-ULUS10538_00-DMP3UPDATE000001-A0101-V0100-PE.pkg	UP2011-ULUS10538_00-DMP3UPDATE000001		NOT REQUIRED		2819968	f837a64c2b8856033bcd634907f43badddcfac721fa294179bdadbd54677d04a
ULUS10550	US	FIFA Soccer 11 PSP®	http://b0.ww.np.dl.playstation.net/tppkg/np/ULUS10550/ULUS10550_T0/3a3b90f81cae200b/UP0006-ULUS10550_00-2011FIFAPATCH001-A0201-V0100-PE.pkg	UP0006-ULUS10550_00-2011FIFAPATCH001		NOT REQUIRED		8394880	390e34ce014cadd782b09a949fb7cecdb45123e6162fef908829b1bbab869327
NPJG00034	JP	LocoRoco: Midnight Carnival (Game)	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJG00034/NPJG00034_T1/558e7ab174b6fe0d/JP9000-NPJG00034_00-LOCOROCOMCPTCH01-A0200-V0101-PE.pkg	JP9000-NPJG00034_00-LOCOROCOMCPTCH01		NOT REQUIRED		5157312	ec589e889f315a6dbf1ecfd5b067f2fb58112065a436ea61acad15d6c576fb9d
NPJG00035	JP	SOCOM: U.S. Navy SEALs Portable	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJG00035/NPJG00035_T10/3d8bb89be2ed64fc/JP9000-NPJG00035_00-FIRETEAMBRAVO312-A0110-V0100-PE.pkg	JP9000-NPJG00035_00-FIRETEAMBRAVO312		NOT REQUIRED		6851936	a744b8b4ef3c31b03e5f10d46c01b0c4bbdb58c4127e3ff4eeaf02a8fced1298
NPJH00054	JP	ワールド・ネバーランド ～ナルル王国物語～	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH00054/NPJH00054_T2/4e833d4beed293dc/JP0034-NPJH00054_00-ALTHIPSPUPDATE01-A0300-V0300-PE.pkg	JP0034-NPJH00054_00-ALTHIPSPUPDATE01		NOT REQUIRED		97365312	1f0331a29896f678b71e372df33803f52b46279022916fd8bf588638e33bce54
NPJH00066	JP	DOT DEFENSE	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH00066/NPJH00066_T15/32473d60402bcde9/JP0018-NPJH00066_00-DDGAMEX001003000-A0103-V0100-PE.pkg	JP0018-NPJH00066_00-DDGAMEX001003000		NOT REQUIRED		2407248	9d04ff30558951afb5fd7523c5f376fb141c74207990e696121ecf8794a11b20
NPJH00100	JP	ワールド・ネバーランド ～ククリア王国物語～	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH00100/NPJH00100_T2/54d40cdc1d7d6121/JP0034-NPJH00100_00-ALTHIPSPUPDATE04-A0300-V0300-PE.pkg	JP0034-NPJH00100_00-ALTHIPSPUPDATE04		NOT REQUIRED		5233632	0bb087152dbfd32770a570bab63931cbeb7cf8d69d7314ea993cc84b6be29f53
NPJH00110	JP	俺に働けって言われても	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH00110/NPJH00110_T2/e243f4df45b79d97/JP0016-NPJH00110_00-GAMEUPDATE000001-A0101-V0103-PE.pkg	JP0016-NPJH00110_00-GAMEUPDATE000001		NOT REQUIRED		36841296	521ee784b8c1cc86d9ff79047134359e195fc39ac492f1f6ed541bc365ec5c85
NPJH00127	JP	Ore ni Hatarakette Iwaretemo Otsu	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH00127/NPJH00127_T1/bbc60a93504d6a84/JP0016-NPJH00127_00-GAMEUPDATE000001-A0101-V0101-PE.pkg	JP0016-NPJH00127_00-GAMEUPDATE000001		NOT REQUIRED		34128928	a9c47611f15821ab424db042d9c908acb8e97c389cfc83aaaf7a1e62289d60e5
NPJH50043	JP	Phantasy Star Portable 2	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50043/NPJH50043_T1/f01d288633d0616c/JP0177-NPJH50043_00-PHANTASYSTARPORT-A0101-V0100-PE.pkg	JP0177-NPJH50043_00-PHANTASYSTARPORT		NOT REQUIRED		9860448	f5a759c873b05ad8bc9872c648bd3af90cae40c11cd7d44c2e79811eef401a59
NPJH50076	JP	J.LEAGUE プロサッカークラブをつくろう！ 6 Pride of J	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50076/NPJH50076_T2/94406034b9ecbb72/JP0177-NPJH50076_00-PATCH00000000000-A0201-V0200-PE.pkg	JP0177-NPJH50076_00-PATCH00000000000		NOT REQUIRED		6893040	25e35f0cc277ce30942b0e825f18ec4b806cc9b0b105734f3a04cacd22319df5
NPJH50266	JP	ＣＬＡＮＮＡＤ　光見守る坂道で　上巻	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50266/NPJH50266_T1/2438f1f24f87d527/JP0548-NPJH50266_00-1010111100005669-A0101-V0102-PE.pkg	JP0548-NPJH50266_00-1010111100005669		NOT REQUIRED		1816624	6ef32320c8793c5ad873093151e236d4c67f43840d6b1c18257127ea2c3e23ab
NPJH50273	JP	ＣＬＡＮＮＡＤ　光見守る坂道で　下巻	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50273/NPJH50273_T0/48065428293657ae/JP0548-NPJH50273_00-1010123400005684-A0101-V0101-PE.pkg	JP0548-NPJH50273_00-1010123400005684		NOT REQUIRED		1817632	0223e458eb7388c56c0d50d89b462193b7a6b25110310a4446ffd83285cd4745
NPJH50321	JP	戦国絵札遊戯 不如帰 大乱	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50321/NPJH50321_T0/3e6fcbd970cdcf78/JP0024-NPJH50321_00-0000A70000010100-A0101-V0100-PE.pkg	JP0024-NPJH50321_00-0000A70000010100		NOT REQUIRED		2586256	a854eed9608b6899b8c526e67299b0ff3caba9d87d53b7ec44d4f8ec0eb89e85
NPJH50352	JP	God Eater Burst	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50352/NPJH50352_T0/7837b5fe7a5464ca/JP0700-NPJH50352_00-GAMEUPDATE000001-A0101-V0101-PE.pkg	JP0700-NPJH50352_00-GAMEUPDATE000001		NOT REQUIRED		4356832	58d098beb7c28f142bee3c083fe51a239da2c2277e1f881b26cee33035ac426a
NPJH50353	JP	Tales of the World: Radiant Mythology 3	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50353/NPJH50353_T0/68e70b99d22d4579/JP0700-NPJH50353_00-GAMEUPDATE000001-A0101-V0101-PE.pkg	JP0700-NPJH50353_00-GAMEUPDATE000001		NOT REQUIRED		10976544	0ca5bfef2873d1d89c143846f4a051116236a4a5bc26693a31198c14918867c1
NPJH50388	JP	クラシックダンジョンX２	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50388/NPJH50388_T4/60ebb986004e5a0e/JP0404-NPJH50388_00-CLDN2GAMEX010100-A0101-V0101-PE.pkg	JP0404-NPJH50388_00-CLDN2GAMEX010100		NOT REQUIRED		8379904	cca322f8f774d9102b336304304cc373d620b5e7e3aa9abb7e565bde7991cc48
NPJH50412	JP	AKIBA'S TRIP	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50412/NPJH50412_T4/0aa5f1fce1c22e20/JP0048-NPJH50412_00-AKBP070820111001-A0101-V0107-PE.pkg	JP0048-NPJH50412_00-AKBP070820111001		NOT REQUIRED		5196464	60146c72011afce9c88dee369c531fc1220151a0eff33aadfa4c3eca68711ca2
NPJH50418	JP	パチパラＳＬＯＴ ～パチスロスーパー海物語IN沖縄～	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50418/NPJH50418_T3/188fc4d028176e45/JP0024-NPJH50418_00-0000B60000010100-A0101-V0101-PE.pkg	JP0024-NPJH50418_00-0000B60000010100		NOT REQUIRED		521313840	6f115feedd340365cfc42a3b830acfa5b2b735f04c9936b93b828fb2c57d34a3
NPJH50453	JP	武装神姫バトルマスターズMk.2	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50453/NPJH50453_T2/536765b44ca7479e/JP0101-NPJH50453_00-BUSOUSHINKIMK2P1-A0101-V0100-PE.pkg	JP0101-NPJH50453_00-BUSOUSHINKIMK2P1		NOT REQUIRED		157166960	bb2b289aaa3b914d1c79e85b231f243d07514f7525c606c1d36b232623b0c371
NPJH50464	JP	J.LEAGUE プロサッカークラブをつくろう！7　EURO PLUS	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50464/NPJH50464_T5/0b3674eb9450f7d4/JP0177-NPJH50464_00-PATCH00000000001-A0102-V0102-PE.pkg	JP0177-NPJH50464_00-PATCH00000000001		NOT REQUIRED		20366480	c902d80bd5dd9b603b00303d54f8546840d7fc5fa94bbc7ddabfb3bcde488a8f
NPJH50468	JP	フロンティアゲート	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50468/NPJH50468_T6/b14485d805da5b2f/JP0101-NPJH50468_00-GAMEUPDATE000203-A0203-V0203-PE.pkg	JP0101-NPJH50468_00-GAMEUPDATE000203		NOT REQUIRED		52263984	cf77b399882d26df0195e49a6a149d2de1aa0a97d1c4cf33f1d8366782864fca
NPJH50486	JP	FAIRYTAIL　ゼレフ覚醒	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50486/NPJH50486_T1/cbac622231667547/JP0101-NPJH50486_00-GAMEUPDATE000001-A0101-V0101-PE.pkg	JP0101-NPJH50486_00-GAMEUPDATE000001		NOT REQUIRED		6028304	3ab63c42733f1cca567a8d8cc1702e011123f12c154c7c45620c31d62df82296
NPJH50520	JP	プロ野球スピリッツ2012	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50520/NPJH50520_T3/1eee114225071c57/JP0101-NPJH50520_00-PROSPI2012UPDATE-A0101-V0101-PE.pkg	JP0101-NPJH50520_00-PROSPI2012UPDATE		NOT REQUIRED		12128992	4e31612ccd0de131732d9abcb6e07c660c7e4b0cb9bc2a4c8467b17b3566ed2e
NPJH50521	JP	Super Robot Taisen Operation Extend Prologue	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50521/NPJH50521_T7/06d38de113f55df9/JP0700-NPJH50521_00-GAMEUPDATE000001-A0101-V0100-PE.pkg	JP0700-NPJH50521_00-GAMEUPDATE000001		NOT REQUIRED		6205280	1b4725c246b0d16b0a04c9f30a4628331e6e64f8f4390d4fa5f007d4defae3d9
NPJH50521	JP	Super Robot Taisen Operation Extend Prologue	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50521/NPJH50521_T7/06d38de113f55df9/JP0700-NPJH50521_00-GAMEUPDATE000002-A0102-V0100-PE.pkg	JP0700-NPJH50521_00-GAMEUPDATE000002		NOT REQUIRED		11954064	fb1fde5b82789670aa0aab4d870a9268c9c034f483e90d59b399e655f0478f3d
NPJH50521	JP	Super Robot Taisen Operation Extend Prologue	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50521/NPJH50521_T7/06d38de113f55df9/JP0700-NPJH50521_00-GAMEUPDATE000003-A0103-V0100-PE.pkg	JP0700-NPJH50521_00-GAMEUPDATE000003		NOT REQUIRED		7490864	73e56d4de350dab83a7d417b0220afbb208251e9eca0d324cb6aef94d5fbfed2
