Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSA00039	US	Unit 13 (DEMO)	http://ares.dl.playstation.net/cdn/UP9000/PCSA00039_00/LkeyttGDEDtfUpffLHmKIMVTGViocbmmYjrsiZEsbDiYAtuDyFYbOLpgvayRmztBgOdxkKJzBJCYrIQbWRTkDbyDbaOKXwqdfvPxn.pkg	KO5ifR1dg/J5YfzQAEskXcaWIPujPAMCXINC/TxDDI1dXH398flv6uq2DauLudiW5jXvPKFzQ3U0xgc3AADynhUC	UP9000-PCSA00039_00-ZIPPERUNIT13DEMO	2018-07-24 19:07:28		885117200	25872ca29dab8cbcec1607df96f6b180e54db0a54b0beaf2b6099cf2a3cbad9f	1.52	1
PCSA00091	US	Sly Cooper: Thieves in Time (DEMO)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00091_00/tIwqWqlMUfILcizwezGvTpUDcFCtGMVwcuKVXAJlKTKvuFQAumiNEEWsUJAZGLebSPLaZVTvpcBQwvpZmkowuTCCdNDzBbWEEXmKs.pkg	KO5ifR1dQ+eHBlgi6bI0BNkf7BMZEOTv4+8e6uri6utvgM9/L7KPhq1uf/9LKvBX5/UV6stGY3xwAwAegRbr	UP9000-PCSA00091_00-SLYPROLOGUEDEMO0	2018-06-05 12:04:46		784086688	a88c2d4a171eb55a081071ab52e0519509b1a1a448a141e22367e7fb1289b581	1.8	1
PCSA00093	US	Soul Sacrifice (DEMO)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00093_00/cRAqlCQUxRpQjsGUrFsEnCMlApkzFTUsWIYjhGMBMWVmUVwRMhsDNNayXqkUNJAzcoQjAUBOSMadzpTNkDFuZzZsBdXwezlHoICUp.pkg	KO5ifR1dQ+eHBlgi6bI0Btkf7B/qE+zoHBLk6egTGgw0Aw+ovfZyRb0fu7/Ap8XijltyL4/G+OAGAPV+FQYA	UP9000-PCSA00093_00-SOULSACTRIALUS00	2018-06-05 12:04:58		1272398464	5bcbb2c4ddb0c55ff672eb52b56f1d5d3c15f0161a168fee761b80772761346a	2.05	1
PCSA00094	US	Sound Shapes (DEMO)	http://ares.dl.playstation.net/cdn/UP9000/PCSA00094_00/LxXyktKyWRmlALPjqlugGBeAyNzUBvmliWJCpnocfnsYFwWvTAFsnoPgxvgrNsfUHAxHAtxsgbaIKpvDTsoAiAavaueWqtRCaOWMl.pkg	KO5ifR1dg/J5YfzQAEskXZYmIPuD/UP9XII9HANcg8GW4vNfySUmz1cH/YT/VgQ0avt5sIzG+OAGADT/E2EA	UP9000-PCSA00094_00-SOUNDSHAPES00000	2018-06-05 12:04:46		563354592	e8b0f28ac73279fc3b010c8f97c84fb5e9bab167f026bc5fde173bf9faba4a07	2.01	1
PCSA00120	US	Killzone: Mercenary Public Beta (DEMO)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00120_00/lDCHWMjhvaoxCjJjizXrCfahgAJIbQGnMrfMqgfqCntatrBCnaoRSnTbIIRnzJdrnHPoaYsNZuFEakVdMAhrlklLaOrpErQEciAkW.pkg	KO5ifR1dQ+eHBlgidBkage33jvIN8HAMdjV2cg0BmYXPfzeufubJ+HWc5e38BdOc5lkdGo3xwQ0Au18WIAAA	UP9000-PCSA00120_00-KZMPHASE3BETA000	2018-06-08 17:19:08		956923088	69d27ad3dc13ca4e3c427af6bad013aa64588dd92d0dd0e2c11dd1453e9e3d8a	2.12	1
PCSE00055	US	EA Sports FIFA Soccer (DEMO)	http://ares.dl.playstation.net/cdn/UP0006/PCSE00055_00/OwFONIoZtfBSPkxcbrnOmPTXxgEWCFKzkhzlhtijWAjZJKMWWoqXwtnVuaprIiYJnnCFEwLZOStidjRGGCXDuiVQulzDyANKcZKzQ.pkg	KO5ifR1dg/J5YfzQAJCDYKaamoLsd/N0cwzzDHE0MjA0AtmJz3+XuPbUJeXw/eq3iBMJvVtdNxrjgxsAAHkGE5oA	UP0006-PCSE00055_00-FIFAVITA20120001	2018-06-05 12:04:46		1738562256	93ae361183c7886cd468cad1873099eda8d4ce52457438482e4353a047be2fa0	1.06	1
PCSE00069	US	Dynasty Warriors Next (DEMO)	http://ares.dl.playstation.net/cdn/UP4108/PCSE00069_00/KRORJLIuBYnuqwQYJFbHFojtLMjjmnrVhgERgkZtMoBcbBlFrFFsGeZsxDiJFklBiOxxFGiMbbpAxBYEbVdpmOBNPIwmfAVrcrSUp.pkg	KO5ifR1dg/J5YfzQABNDAwuYqWaWIPtdwv1cI0JcXH39IXbi85+SYVPxBlbJn+qTA2qfdileHY3xwQ0AjaEToQAA	UP4108-PCSE00069_00-DWNEXTDEMO000001	2018-08-06 23:22:46		223409488	250e59e6adec66524687880c8e22f7bff576ac1d5b21210d097ff9c035ab0bfd	1.52	1
PCSE00072	US	Touch My Katamari (DEMO)	http://ares.dl.playstation.net/cdn/UP0700/PCSE00072_00/HGVCtWIjtfsVrZeJrtyzbpAKyiLMWcxuUFbxGKFQwjqlOnHUsgXpVfGAkDVXwXQfefWAetUeRvTMQevmijaunSRGBKbhLswtupWLI.pkg	KO5ifR1dg/J5YfzQAJBLYKaaG4Hs93YMcfR1DPJ0AZLOkUAz8IDAdGbx7o1T5S40hs294eT2fTTGBzcAAHzsFC8A	UP0700-PCSE00072_00-KATAMARIDAMACY00	2018-06-05 12:04:46		103037088	8b323053a2633bfcd9f3c5b84fe2e2842e74278b0453892ef64d2cff7c62f249	1.52	1
PCSE00076	US	Shinobido 2: Revenge of Zen (DEMO)	http://ares.dl.playstation.net/cdn/UP0700/PCSE00076_00/OsoVmTGTHESKbIfjVkpmQNYWRrznRJGfNVEFaclWJHerSJLTvPYbniHCfeIxcelgQWQmUuLRMcJIbqDqSfQkMZCucYyrgprVuugEC.pkg	KO5ifR1dg/J5YfzQAJBLYKaam4HtDwgwQAb4/NfcFFJfwhGw73rfNyO9GLOW0Rgf3AAAZ6ITAgAA	UP0700-PCSE00076_00-APP0000000000000	2019-10-30 12:10:54		249870112	8513f11a1b402b864f80fae36f12293b09ca200ba3bc4180d5187c6addfc7455	1.6	1
PCSE00121	US	Silent Hill: Book of Memories (DEMO)	http://ares.dl.playstation.net/cdn/UP0101/PCSE00121_00/AZFURJcIlbxbrbjLwclTjsHJzidPaZMvRaOdCbjYtoXAXaGHBClwgbetBhTHesJP.pkg	KO5ifR1dg/J5YfzQAANDuKmGRoYg+4M9fVz9Qjw8fXycfF1cff3x+e8F94FSsYQAIc0Z0qvmPlz2cjTGBzcAAF1PFK8A	UP0101-PCSE00121_00-SILENTHILLBMDEMO	2018-06-05 12:04:46		578275600	fbb557bee2f362dd7a57c5f419bab925f15684c5f9ac167db7c443d7b1f50178	1.69	1
PCSE00146	US	Ragnarok Odyssey (DEMO)	http://ares.dl.playstation.net/cdn/UP1023/PCSE00146_00/SzZlKlKaKJHrKSlclluzSUTWLNxPFCpqjoXqwzEbLxpEfGFIiveHxVHUZxxEVWhr.pkg	KO5ifR1dg/J5YfzQAEMDI2OoqYYmZmD7AwIMkAE+/7VqPBJ98etLrseNKUsnd36/PxrjgxsAAFKwFf4A	UP1023-PCSE00146_00-APP0000000000000	2018-06-05 12:04:46		270813296	0549380b36ae4b3099c31d012d92e9aa4441007ad485eee7daa0ae9a078eeae0	1.65	1
