[   1.018080] Input <Info> input_common\drivers\udp_client.cpp:UDPClient:140: Udp Initialization started
[   1.018103] Input <Info> input_common\drivers\udp_client.cpp:StartCommunication:332: Starting communication with UDP input server on 127.0.0.1:26760
[   1.124372] Frontend <Info> yuzu\main.cpp:GMainWindow:299: yuzu Version: yuzu 1061
[   1.124407] Frontend <Info> yuzu\main.cpp:LogRuntimes:219: MSVC Compiler: 1929 Runtime: 14.29.30139.0
[   1.124409] Frontend <Info> yuzu\main.cpp:GMainWindow:315: Host CPU: Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz | AVX2 | FMA
[   1.124671] Frontend <Info> yuzu\main.cpp:GMainWindow:317: Host OS: Windows 10 Version 21H2 (Build 19044.1741)
[   1.124719] Frontend <Info> yuzu\main.cpp:GMainWindow:319: Host RAM: 15.91 GiB
[   1.124725] Frontend <Info> yuzu\main.cpp:GMainWindow:320: Host Swap: 16.00 GiB
[  48.097480] Render.Vulkan <Error> video_core\vulkan_common\vulkan_instance.cpp:CreateInstance:116: Vulkan library not available
[  48.097804] Frontend <Error> yuzu\check_vulkan.cpp:CheckVulkan:46: Failed to initialize Vulkan: VK_ERROR_INITIALIZATION_FAILED
[  49.547255] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.27.0) applied successfully
[  49.651373] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  49.736029] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.14.0) applied successfully
[  49.869287] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.6.0) applied successfully
[  49.965708] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.3.0) applied successfully
[  50.024821] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.3.0) applied successfully
[  50.098423] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  50.172802] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.5.0) applied successfully
[  50.256273] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  50.340779] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.9.0) applied successfully
[  50.413609] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.8.0) applied successfully
[  50.494398] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  50.649318] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  50.729262] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  50.792877] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  50.868440] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
[  51.004060] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.3.0) applied successfully
[  51.086748] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.3.0) applied successfully
[  51.170851] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.4.0) applied successfully
[  51.247874] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  51.327539] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  51.413143] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.5.0) applied successfully
[  51.466871] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.1.0) applied successfully
[  51.578431] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.5.0) applied successfully
[  51.659475] Loader <Info> core\file_sys\patch_manager.cpp:PatchRomFS:443:     RomFS: Update (v0.2.0) applied successfully
